,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Umm Lajj,SA,25.0213,37.2685,30.71,41,1,3.58,clear sky
319,Monte Alegre,BR,-2.0078,-54.0692,25.63,78,46,1.08,scattered clouds
320,Bilopillya,UA,51.1502,34.3129,18.82,97,100,4.11,light rain
321,San Juan,AR,-31.5375,-68.5364,6.84,38,0,2.01,clear sky
322,Maun,BW,-19.9833,23.4167,10.98,66,0,1.54,clear sky
323,Saint Leonard,CA,47.173,-67.9247,28.78,78,75,6.81,broken clouds
324,Cochrane,CA,51.1834,-114.4687,30.51,40,1,2.57,clear sky
325,Mehran,IR,33.1222,46.1646,31.71,9,0,2.22,clear sky
326,Gizeh,EG,30.0081,31.2109,30.41,40,0,4.2,clear sky
327,Moose Factory,CA,51.2585,-80.6094,14.0,58,40,4.63,scattered clouds
328,Vostochnyy,RU,55.8167,37.8667,23.39,88,57,3.0,broken clouds
329,Studena,CZ,49.1852,15.2869,17.92,85,100,1.77,overcast clouds
330,Arusha,TZ,-3.3667,36.6833,16.59,80,76,2.85,broken clouds
331,Nisia Floresta,BR,-6.0911,-35.2086,26.45,84,100,5.84,overcast clouds
332,Barcelos,PT,41.5388,-8.6151,16.03,91,2,2.64,clear sky
333,Quelimane,MZ,-17.8786,36.8883,21.97,88,0,3.09,clear sky
334,Hualmay,PE,-11.0964,-77.6139,18.62,76,73,3.7,broken clouds
335,Alekseyevka,RU,50.6309,38.6903,20.61,86,56,2.57,broken clouds
336,Semey,KZ,50.4111,80.2275,15.46,55,65,3.85,broken clouds
337,Misratah,LY,32.3754,15.0925,28.94,48,0,4.34,clear sky
338,Lundamo,NO,63.1333,10.3,12.54,93,44,0.9,scattered clouds
339,Bubaque,GW,11.2833,-15.8333,26.24,85,92,4.85,overcast clouds
340,Tsiroanomandidy,MG,-18.7667,46.0333,14.12,62,5,1.14,clear sky
341,Bekovo,RU,52.4663,43.712,21.17,79,34,3.22,scattered clouds
342,Hambantota,LK,6.1241,81.1185,26.19,89,75,3.6,broken clouds
